,state,CORDINATES
0,Illinois,"(40.6331, -89.3985)"
1,Indiana,"(40.2672, -86.1349)"
2,Iowa,"(41.878, -93.0977)"
3,Michigan,"(44.3148, -85.6024)"
4,Ohio,"(40.4173, -82.9071)"
5,Missouri,"(37.9643, -91.8318)"
6,Kentucky,"(37.8393, -84.27)"
7,Minnesota,"(46.7296, -94.6859)"
8,Nebraska,"(41.4925, -99.9018)"
9,New York,"(43.2994, -74.2179)"
10,Tennessee,"(35.5175, -86.5804)"
11,Virginia,"(37.4316, -78.6569)"
12,Pennsylvania,"(41.2033, -77.1945)"
13,New Jersey,"(40.0583, -74.4057)"
14,Connecticut,"(41.6032, -73.0877)"
15,Mississippi,"(32.3547, -89.3985)"
16,Florida,"(27.9944, -81.7603)"
17,Texas,"(31.9686, -99.9018)"
18,Idaho,"(44.0682, -114.742)"
19,Arizona,"(34.0489, -111.0937)"
20,California,"(36.7783, -119.4179)"
21,Oregon,"(43.8041, -120.5542)"
22,Wisconsin,"(43.7844, -88.7879)"
23,Kansas,"(39.0119, -98.4842)"
24,South Dakota,"(43.9695, -99.9018)"
25,North Carolina,"(35.7596, -79.0193)"
26,Georgia,"(32.1656, -82.9001)"
27,South Carolina,"(33.8361, -81.1637)"
28,North Dakota,"(47.5515, -101.002)"
29,Massachusetts,"(42.4072, -71.3824)"
30,Rhode Island,"(41.5801, -71.4774)"
31,Colorado,"(39.5501, -105.7821)"
32,Montana,"(46.8797, -110.3626)"
33,Utah,"(39.32, -111.0937)"
34,Washington,"(47.7511, -120.7401)"
35,West Virginia,"(38.5976, -80.4549)"
36,Maryland,"(39.0458, -76.6413)"
37,Oklahoma,"(35.0078, -97.0929)"
38,Louisiana,"(30.9843, -91.9623)"
39,Arkansas,"(35.201, -91.8318)"
40,Alabama,"(32.3182, -86.9023)"
41,Nevada,"(38.8026, -116.4194)"
42,New Hampshire,"(43.1939, -71.5724)"
43,New Mexico,"(34.5199, -105.8701)"
44,Hawaii,"(19.8968, -155.5828)"
45,Delaware,"(38.9108, -75.5277)"
46,Alaska,"(64.2008, -149.4937)"
47,Wyoming,"(43.076, -107.2903)"
48,Vermont,"(44.5588, -72.5778)"
49,,
50,Maine,"(45.2538, -69.4455)"
51,District of Columbia,"(38.9072, -77.0369)"
52,District of Colombia,"(38.9072, -77.0369)"
